項目名稱,單項可製作份數,食譜/菜單資料庫,食材資料庫管理 (Ingredient Database),食材庫存量,使用數量(克),食材單位成本,項目成本
烤物醬(棕)-青蔥,0,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),青蔥 (https://www.notion.so/237fd5adc30b80459aecc31b80493c94?pvs=21),0,5,0.25,1.25
茉莉香米-米,200,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),泰國茉莉香米 (https://www.notion.so/237fd5adc30b809bab8ee684c54f33bf?pvs=21),15000,75,0.051,3.825
配菜組-小黃瓜,135,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),小黃瓜 (https://www.notion.so/237fd5adc30b809ea510e4b1f3c87b8e?pvs=21),675,5,0.058,0.29
配菜組-地瓜,20,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),黃地瓜 (https://www.notion.so/237fd5adc30b80729dd4e0369414fdf5?pvs=21),600,30,0.058,1.74
配菜組-小番茄,80,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),小番茄 (https://www.notion.so/237fd5adc30b80f09c23c68d2ea0a750?pvs=21),800,10,0.117,1.17
配菜組-青花菜,40,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),青花菜 (https://www.notion.so/238fd5adc30b8063ba66c61d4b4a85f4?pvs=21),1200,30,0.134,4.02
配菜組-白花菜,40,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),白花菜 (https://www.notion.so/238fd5adc30b8082b82aed5e85fdcc8c?pvs=21),1200,30,0.157,4.71
泰式炸蛋-雞蛋,76,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),雞蛋 (https://www.notion.so/237fd5adc30b806d9cf7fa4a4bc5ac10?pvs=21),5000,65,0.072,4.68
剝殼白蝦-白蝦,16,剝殼白蝦 (https://www.notion.so/238fd5adc30b80739d7df23c1e7808b1?pvs=21),白蝦 (https://www.notion.so/237fd5adc30b802bab46dee293f9b453?pvs=21),2000,120,0.4,48
切片雞胸肉-雞胸肉,100,切片雞胸肉 (https://www.notion.so/238fd5adc30b80ec9e03f6df575e0f08?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,60,0.142,8.52
醃製牛柳-牛柳,50,醃製牛柳 (https://www.notion.so/238fd5adc30b808ca057f9a9253fe968?pvs=21),牛柳 (https://www.notion.so/238fd5adc30b802cac69e53f088094f0?pvs=21),3000,60,0.3,18
生菜-蘿蔓美生,22,生菜 (https://www.notion.so/238fd5adc30b8037b18dec128185814a?pvs=21),蘿蔓美生 (https://www.notion.so/238fd5adc30b80fdad87ea89e95bf6b5?pvs=21),453,20,0.221,4.42
椰奶糖漿-椰漿粉,0,椰奶糖漿 (https://www.notion.so/238fd5adc30b80bf9cdfedb84364ae60?pvs=21),椰漿粉 (https://www.notion.so/237fd5adc30b800bbfeaca15d2c19a11?pvs=21),0,50,0.37,18.5
椰奶糖漿-水,4000,椰奶糖漿 (https://www.notion.so/238fd5adc30b80bf9cdfedb84364ae60?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,50,0.001,0.05
椰奶糖漿-白砂糖,100,椰奶糖漿 (https://www.notion.so/238fd5adc30b80bf9cdfedb84364ae60?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
仙草凍-仙草粉,1,仙草凍 (https://www.notion.so/238fd5adc30b80149cc8eeb887ffbb35?pvs=21),仙草粉 (https://www.notion.so/238fd5adc30b80d88753edb6e15afa54?pvs=21),200,120,0,0
仙草凍-水,166,仙草凍 (https://www.notion.so/238fd5adc30b80149cc8eeb887ffbb35?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,1200,0.001,1.2
仙草凍-白砂糖,50,仙草凍 (https://www.notion.so/238fd5adc30b80149cc8eeb887ffbb35?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,60,0.037,2.22
花生粉-花生仁,2,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),花生仁 (https://www.notion.so/237fd5adc30b806eb285ed0ebb040af2?pvs=21),600,300,0.217,65.1
花生粉-白砂糖,30,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,100,0.037,3.7
經典打拋醬-豬肉,3,經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21),豬絞肉 (https://www.notion.so/237fd5adc30b806793f6f97371ef65ff?pvs=21),3000,1000,0.158,158
經典打拋醬-雞肉,6,經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,1000,0.142,142
經典打拋醬-菜豆,40,"經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21), 經典打拋醬-雞 (https://www.notion.so/238fd5adc30b80798462f2188582f405?pvs=21)",菜豆 (https://www.notion.so/237fd5adc30b80a0a995f2aa2c016c64?pvs=21),1200,30,0.1,3
經典帕泰-蝦油,75,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),夜巴濃辣椒油 (https://www.notion.so/237fd5adc30b80cc88f3da5daf1bfc9b?pvs=21),1500,20,0.173,3.46
