項目名稱,單項可製作份數,食譜/菜單資料庫,食材資料庫管理 (Ingredient Database),食材庫存量,使用數量(克),食材單位成本,項目成本
舒肥薑黃咖喱雞-魚露,17,舒肥薑黃咖喱雞 (https://www.notion.so/237fd5adc30b805f8bd8d1d63ce3c17c?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,120,0.06,7.2
舒肥薑黃咖喱雞-椰漿粉,0,舒肥薑黃咖喱雞 (https://www.notion.so/237fd5adc30b805f8bd8d1d63ce3c17c?pvs=21),椰漿粉 (https://www.notion.so/237fd5adc30b800bbfeaca15d2c19a11?pvs=21),0,500,0.37,185
舒肥薑黃咖喱雞-水,400,舒肥薑黃咖喱雞 (https://www.notion.so/237fd5adc30b805f8bd8d1d63ce3c17c?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,500,0.001,0.5
舒肥薑黃咖喱雞-黃咖哩,0,舒肥薑黃咖喱雞 (https://www.notion.so/237fd5adc30b805f8bd8d1d63ce3c17c?pvs=21),黃咖喱(COCK) (https://www.notion.so/COCK-237fd5adc30b80c5bef4ff6c97826ee1?pvs=21),0,300,0.136,40.8
舒肥薑黃咖喱雞-薑黃粉,0,舒肥薑黃咖喱雞 (https://www.notion.so/237fd5adc30b805f8bd8d1d63ce3c17c?pvs=21),薑黃粉 (https://www.notion.so/237fd5adc30b80468d57c9f7cb677f0f?pvs=21),0,30,0.5,15
泰南烤雞-美極鮮味露,8,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),美極鮮味露 (https://www.notion.so/237fd5adc30b800ab164c3ad1386d09e?pvs=21),1000,120,0.256,30.72
泰南烤雞-魚露,11,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,180,0.06,10.8
泰南烤雞-芫荽子,30,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),芫荽子 (https://www.notion.so/237fd5adc30b80b88e01f2f6a6ec27de?pvs=21),300,10,0.45,4.5
泰南烤雞-雞粉,6,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,30,0.25,7.5
泰南烤雞-雞胸肉,1,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),雞胸肉 (https://www.notion.so/237fd5adc30b80bcb33ffeaf867322be?pvs=21),6000,6000,0.142,852
泰南烤雞-白胡椒,2,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,20,0.5,10
泰南烤雞-蒜酥,0,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),蒜酥 (https://www.notion.so/237fd5adc30b809c916dd39874e65334?pvs=21),0,50,0.138,6.9
泰南烤雞-白砂糖,15,泰南烤雞 (https://www.notion.so/237fd5adc30b8007bc36d61400a951d1?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,200,0.037,7.4
茉莉豬頸肉-松板肉,0,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),松坂肉 (https://www.notion.so/237fd5adc30b80af9be3da6d27085180?pvs=21),0,6000,0.42,2520
茉莉豬頸肉-芫荽子,30,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),芫荽子 (https://www.notion.so/237fd5adc30b80b88e01f2f6a6ec27de?pvs=21),300,10,0.45,4.5
茉莉豬頸肉-蒜酥,0,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),蒜酥 (https://www.notion.so/237fd5adc30b809c916dd39874e65334?pvs=21),0,150,0.138,20.7
茉莉豬頸肉-奶水,5,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),2000,400,0.093,37.2
茉莉豬頸肉-雞粉,10,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,20,0.25,5
茉莉豬頸肉-白胡椒,5,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,10,0.5,5
茉莉豬頸肉-黑胡椒,0,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),黑胡椒 (https://www.notion.so/237fd5adc30b8065839fec23d899e662?pvs=21),0,20,0.733,14.66
茉莉豬頸肉-鹽,0,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),鹽 (https://www.notion.so/237fd5adc30b80c9a302e80a3cb65902?pvs=21),0,60,0.008,0.48
茉莉豬頸肉-紅糖,9,茉莉豬頸肉 (https://www.notion.so/237fd5adc30b8093b2b9c2d21d36be31?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,200,0.033,6.6
鹽味翅小腿-香茅,5,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),香茅乾 (https://www.notion.so/238fd5adc30b80998836c2b864bbf5ea?pvs=21),100,20,0.4,8
鹽味翅小腿-蒜仁,7,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,80,0.167,13.36
鹽味翅小腿-紅蔥頭,14,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,50,0.167,8.35
鹽味翅小腿-紅糖,18,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,100,0.033,3.3
