調整單號,食材,調整數量,單位,調整類型,調整日期,負責人,調整原因,已更新庫存,重量/克
0722-Gbc,國寶茶 (https://www.notion.so/237fd5adc30b80808133e3b714d6dcad?pvs=21),700,克,庫存建立,2025年7月22日 下午1:17,,50,Yes,700
0722-Nl,手標綠茶 (https://www.notion.so/237fd5adc30b80f28a04c7a1f4fe55ef?pvs=21),1000,克,庫存建立,2025年7月22日 下午1:15,,,Yes,1000
0722-Hc,手標紅茶粉 (https://www.notion.so/237fd5adc30b80349c99cc8b38f018fe?pvs=21),800,克,庫存建立,2025年7月22日 下午1:14,,,Yes,800
0722-Ns,奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),2000,克,庫存建立,2025年7月22日 下午1:13,,,Yes,2000
0722-Lwz,羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,克,庫存建立,2025年7月22日 下午1:13,,,Yes,1360
0722-Ljg,辣椒膏 (https://www.notion.so/237fd5adc30b80e3a057cbfaa60867c3?pvs=21),500,克,庫存建立,2025年7月22日 下午1:12,,,Yes,500
0722-Hcj,紅葱醬 (https://www.notion.so/237fd5adc30b8057a5a3d45ba08046a3?pvs=21),1000,克,庫存建立,2025年7月22日 下午1:12,,,Yes,1000
0722-Dpj,打拋醬(花鐘) (https://www.notion.so/237fd5adc30b806f8f8cdcbde665ba9a?pvs=21),1360,克,庫存建立,2025年7月22日 下午1:11,,,Yes,1360
0722-Mj,美極鮮味露 (https://www.notion.so/237fd5adc30b800ab164c3ad1386d09e?pvs=21),1000,克,庫存建立,2025年7月22日 下午1:11,,,Yes,1000
0722-Lxy,夜巴濃辣椒油 (https://www.notion.so/237fd5adc30b80cc88f3da5daf1bfc9b?pvs=21),1500,克,庫存建立,2025年7月22日 下午1:10,,,Yes,1500
0722-Yl,魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,克,庫存建立,2025年7月22日 下午1:09,,,Yes,2100
0722-Jf,雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,克,庫存建立,2025年7月22日 下午1:09,,500,Yes,200
0722-Bst,白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),5,斤,庫存建立,2025年7月22日 下午1:08,,,Yes,3000
0722-Ht,紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),3,斤,庫存建立,2025年7月22日 下午1:07,,,Yes,1800
0722-Glf,咖哩粉 (https://www.notion.so/238fd5adc30b8056b9cefd5fec12620f?pvs=21),1,公斤,庫存建立,2025年7月22日 下午1:06,,,Yes,1000
0722-Lr,煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),2,公斤,庫存建立,2025年7月22日 下午1:06,,,Yes,2000
0722-Szf,脆酥粉(黏師傅) (https://www.notion.so/237fd5adc30b809d941bf1de4faf562a?pvs=21),1,公斤,庫存建立,2025年7月22日 下午12:09,,,Yes,1000
0722-Xmg,香茅乾 (https://www.notion.so/238fd5adc30b80998836c2b864bbf5ea?pvs=21),100,克,庫存建立,2025年7月22日 下午12:59,,100,Yes,100
0722-Nmyg,檸檬葉乾 (https://www.notion.so/238fd5adc30b80df9498c09449b13443?pvs=21),50,克,庫存建立,2025年7月22日 下午1:00,,50,Yes,50
0722-Zlmf,在來米粉 (https://www.notion.so/237fd5adc30b808cadd2f990bb0f1dd2?pvs=21),600,克,庫存建立,2025年7月22日 下午1:00,,600,Yes,600
0722-Xp,馬努拉蝦片 (https://www.notion.so/237fd5adc30b80a48b9ad7ea6a394f70?pvs=21),1600,克,庫存建立,2025年7月22日 下午1:01,,200,Yes,1600
0722-Dgf,地瓜粉 (https://www.notion.so/237fd5adc30b806d82c8d023d10c9681?pvs=21),1800,克,庫存建立,2025年7月22日 下午1:02,,600,Yes,1800
0722-Lgl,綠咖哩(有心) (https://www.notion.so/237fd5adc30b803e8a6ec71bbfb6669e?pvs=21),500,克,庫存建立,2025年7月22日 下午1:04,,,Yes,500
0722-Hgl,紅咖哩(有心) (https://www.notion.so/237fd5adc30b805da2d3e7f7e17efba9?pvs=21),1500,克,庫存建立,2025年7月22日 下午1:05,,,Yes,1500
