名稱,元/100g,食材單位成本,食譜組成,重量,總物料成本,總可製作份數,可製作半成品重量,實際庫存量,動態庫存量,安全庫存量
馬努拉蝦片,27.5,0.275,馬努拉蝦片-蝦片 (https://www.notion.so/237fd5adc30b80b280b8e9e25c44cbbd?pvs=21),30,8.25,53,1590,0,1590,
經典帕泰,7.4179144385,0.074179144385,"經典帕泰-河粉 (https://www.notion.so/237fd5adc30b80139197ca6b5216931e?pvs=21), 經典帕泰-豆芽菜 (https://www.notion.so/237fd5adc30b8082b3e8e05c497dd09d?pvs=21), 經典帕泰-韭菜 (https://www.notion.so/237fd5adc30b802ab167edf83ef2cd8d?pvs=21), 經典帕泰-豆干 (https://www.notion.so/237fd5adc30b804abeb0c8c3b3d8d88a?pvs=21), 經典帕泰-菜脯 (https://www.notion.so/237fd5adc30b8026b205fddc8e0b366e?pvs=21), 經典帕泰-雞蛋 (https://www.notion.so/237fd5adc30b80b393fddc00a24b08ff?pvs=21), 經典帕泰-蝦米 (https://www.notion.so/237fd5adc30b805a81b0df79c86d0f50?pvs=21), 經典帕泰-蝦油 (https://www.notion.so/238fd5adc30b8057b039ea828e85b271?pvs=21)",374,27.743,13,4862,0,4862,
Laab羊,29.1782608696,0.291782608696,"Laab羊-羊肉片 (https://www.notion.so/Laab-237fd5adc30b80e0bdd5e71e40a94790?pvs=21), Laab羊-檸檬汁 (https://www.notion.so/Laab-237fd5adc30b804c9e69e1f600190e50?pvs=21), Laab羊-魚露 (https://www.notion.so/Laab-237fd5adc30b80f68bd3c6c4d4d27345?pvs=21), Laab羊-辣椒 (https://www.notion.so/Laab-237fd5adc30b8001a9c4c8725815f0a9?pvs=21), Laab羊-洋蔥 (https://www.notion.so/Laab-237fd5adc30b8076bf21fe589999c438?pvs=21), Laab羊-紅蔥頭 (https://www.notion.so/Laab-237fd5adc30b804c81c1c114cef79551?pvs=21), Laab羊-羅望子 (https://www.notion.so/Laab-237fd5adc30b80bbbf87f0dd4627076d?pvs=21), Laab羊-紅糖 (https://www.notion.so/Laab-237fd5adc30b80ffac95c111be80ddba?pvs=21), Laab羊-青蔥 (https://www.notion.so/Laab-237fd5adc30b800b8313ffb4ebb843e9?pvs=21)",460,134.22000000000003,0,0,200,200,
泰式奶綠,5.0406779661,0.050406779661,"泰式奶綠-煉乳 (https://www.notion.so/237fd5adc30b8034ad13e54b37ebcd99?pvs=21), 泰式奶綠-奶水 (https://www.notion.so/237fd5adc30b80d78bb5d92901656053?pvs=21), 泰式奶綠-水 (https://www.notion.so/237fd5adc30b80ac8de4fe73f9452e4e?pvs=21), 泰式奶綠-白砂糖 (https://www.notion.so/237fd5adc30b80c6a153cfe276aca196?pvs=21), 泰式奶綠-奶綠粉 (https://www.notion.so/237fd5adc30b80dfab2eca6035eca945?pvs=21)",295,14.870000000000001,66,19470,0,19470,
泰式檸檬茶,4.0245901639,0.040245901639,"泰式檸檬茶-紅茶葉 (https://www.notion.so/237fd5adc30b804da519e05e38893ab7?pvs=21), 泰式檸檬茶-白砂糖 (https://www.notion.so/237fd5adc30b8073bb7fcb688b994c2a?pvs=21), 泰式檸檬茶-檸檬汁 (https://www.notion.so/237fd5adc30b806e8a3def56c0d71e27?pvs=21), 泰式檸檬茶-水 (https://www.notion.so/237fd5adc30b80da9c00e57e72e93489?pvs=21)",305,12.274999999999999,50,15250,0,15250,
經典國寶茶,1.05,0.0105,"經典國寶茶-國寶茶葉 (https://www.notion.so/237fd5adc30b805d9871de34e8174ce5?pvs=21), 經典國寶茶-羅漢果 (https://www.notion.so/237fd5adc30b8082bc42f0816d76437b?pvs=21), 經典國寶茶-水 (https://www.notion.so/237fd5adc30b80f0be50d44fadf9e732?pvs=21)",220,2.31,30,6600,0,6600,
泰式傳統咖啡,1.9309210526,0.019309210526,"泰式傳統咖啡-水 (https://www.notion.so/237fd5adc30b800483e4f1163f92d57c?pvs=21), 泰式傳統咖啡-煉乳 (https://www.notion.so/237fd5adc30b800d95eacc2ad7a2e06e?pvs=21), 泰式傳統咖啡-奶水 (https://www.notion.so/237fd5adc30b80d69847d3bec688b939?pvs=21), 泰式傳統咖啡-白砂糖 (https://www.notion.so/237fd5adc30b80719bfacc81ea75efdc?pvs=21), 泰式傳統咖啡-咖啡豆 (https://www.notion.so/237fd5adc30b805a88e3da7af61f860f?pvs=21)",304,5.870000000000001,0,0,0,0,
煉乳檸檬,3.3838709677,0.033838709677,"煉乳檸檬-檸檬汁 (https://www.notion.so/237fd5adc30b8082af73c8984e61b95a?pvs=21), 煉乳檸檬-煉乳 (https://www.notion.so/237fd5adc30b80e2af24c7cae1e5f9dc?pvs=21), 煉乳檸檬-白砂糖 (https://www.notion.so/237fd5adc30b8028811cc8ee61ecea8a?pvs=21), 煉乳檸檬-水 (https://www.notion.so/237fd5adc30b809f8f01eb6eb3568fbd?pvs=21)",310,10.489999999999998,40,12400,0,12400,
檸檬汁,2.8866666667,0.028866666667,"檸檬汁-檸檬汁 (https://www.notion.so/237fd5adc30b80efbde7c4bbff356840?pvs=21), 檸檬汁-水 (https://www.notion.so/237fd5adc30b80adb3b2f08e38440c67?pvs=21), 檸檬汁-白砂糖 (https://www.notion.so/237fd5adc30b80f2912ce88b66cced9b?pvs=21)",300,8.66,40,12000,0,12000,
炸物醬(紅),7.1552631579,0.071552631579,"炸物醬(紅)-紅蔥頭 (https://www.notion.so/237fd5adc30b801f9727c1b3c8b7e15e?pvs=21), 炸物醬(紅)-蒜仁 (https://www.notion.so/237fd5adc30b803fa73cc86a65fa835f?pvs=21), 炸物醬(紅)-白砂糖 (https://www.notion.so/237fd5adc30b80cfb605d1dbc579b0d3?pvs=21), 炸物醬(紅)-檸檬汁 (https://www.notion.so/237fd5adc30b803c9264d7ae0b553eda?pvs=21), 炸物醬(紅)-魚露 (https://www.notion.so/237fd5adc30b80f4bbf2dd999691b003?pvs=21), 炸物醬(紅)-泰式酸辣醬 (https://www.notion.so/237fd5adc30b80f0b0abd2d0ad8cb247?pvs=21), 炸物醬(紅)-醋 (https://www.notion.so/237fd5adc30b808cb598d7ec24cdbe3f?pvs=21), 炸物醬(紅)-水 (https://www.notion.so/237fd5adc30b80668d97ee627187183a?pvs=21)",380,27.19,20,7600,0,7600,
