名稱,食譜,食譜用量,動態庫存量,食譜單價,"食材 ",食材用量,食材庫存,食材單價,使用菜單,總價,可製作份數
魚露炸腿飯-生菜,生菜 (https://www.notion.so/238fd5adc30b8037b18dec128185814a?pvs=21),20,440,0.221,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),4.42,22
魚露炸腿飯-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),100,2100,0.113619047619,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),11.3619047619,21
魚露炸腿飯-米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),3.825,200
魚露炸腿飯-蛋,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),65,4940,0.072,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),4.68,76
魚露炸腿飯-醬,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),30,7600,0.071552631579,,,0,0,魚露炸腿飯 (https://www.notion.so/237fd5adc30b802799c9d516223c50c5?pvs=21),2.14657894737,253
雞肉帕泰-料,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),354,4862,0.074179144385,,,0,0,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),26.25941711229,13
雞肉帕泰-醬,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),45,7080,0.082574074074,,,0,0,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),3.71583333333,157
雞肉帕泰-雞肉,切片雞胸肉 (https://www.notion.so/238fd5adc30b80ec9e03f6df575e0f08?pvs=21),60,6500,0.142,,,0,0,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),8.52,108
雞肉帕泰-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),11.929999999995,20
雞肉帕泰-花生粉,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),30,1000,0.172,,,0,0,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),5.16,33
雞肉帕泰-檸檬角,,,0,0,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),20,600,0.108,雞肉帕泰 (https://www.notion.so/237fd5adc30b8090a7d6e883fb7f010c?pvs=21),2.16,30
綠咖哩雞飯-醬,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),150,1620,0.111308641975,,,0,0,綠咖哩雞飯 (https://www.notion.so/237fd5adc30b8038a204eefae51f59f6?pvs=21),16.69629629625,10
綠咖哩雞飯-肉,切片雞胸肉 (https://www.notion.so/238fd5adc30b80ec9e03f6df575e0f08?pvs=21),60,6500,0.142,,,0,0,綠咖哩雞飯 (https://www.notion.so/237fd5adc30b8038a204eefae51f59f6?pvs=21),8.52,108
綠咖哩雞飯-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,綠咖哩雞飯 (https://www.notion.so/237fd5adc30b8038a204eefae51f59f6?pvs=21),11.929999999995,20
綠咖哩雞飯-米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,綠咖哩雞飯 (https://www.notion.so/237fd5adc30b8038a204eefae51f59f6?pvs=21),3.825,200
綠咖哩雞飯-蛋,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),65,4940,0.072,,,0,0,綠咖哩雞飯 (https://www.notion.so/237fd5adc30b8038a204eefae51f59f6?pvs=21),4.68,76
紅咖哩牛飯-醬,經典紅咖哩醬 (https://www.notion.so/237fd5adc30b80e69232f9a7879c3459?pvs=21),150,1600,0.132395209581,,,0,0,紅咖哩牛飯 (https://www.notion.so/237fd5adc30b80d9bacfe8fea6b6bd52?pvs=21),19.85928143715,10
紅咖哩牛飯-肉,醃製牛柳 (https://www.notion.so/238fd5adc30b808ca057f9a9253fe968?pvs=21),60,3500,0.3,,,0,0,紅咖哩牛飯 (https://www.notion.so/237fd5adc30b80d9bacfe8fea6b6bd52?pvs=21),18,58
紅咖哩牛飯-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,紅咖哩牛飯 (https://www.notion.so/237fd5adc30b80d9bacfe8fea6b6bd52?pvs=21),11.929999999995,20
紅咖哩牛飯-米,茉莉香米 (https://www.notion.so/237fd5adc30b800e81e4eadd24a8ce53?pvs=21),75,15000,0.051,,,0,0,紅咖哩牛飯 (https://www.notion.so/237fd5adc30b80d9bacfe8fea6b6bd52?pvs=21),3.825,200
紅咖哩牛飯-蛋,泰式炸蛋 (https://www.notion.so/238fd5adc30b8000b03fd842d2d39876?pvs=21),65,4940,0.072,,,0,0,紅咖哩牛飯 (https://www.notion.so/237fd5adc30b80d9bacfe8fea6b6bd52?pvs=21),4.68,76
牛肉帕泰-料,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),354,4862,0.074179144385,,,0,0,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),26.25941711229,13
牛肉帕泰-醬,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),45,7080,0.082574074074,,,0,0,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),3.71583333333,157
牛肉帕泰-肉,醃製牛柳 (https://www.notion.so/238fd5adc30b808ca057f9a9253fe968?pvs=21),60,3500,0.3,,,0,0,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),18,58
牛肉帕泰-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),11.929999999995,20
牛肉帕泰-粉,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),30,1000,0.172,,,0,0,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),5.16,33
牛肉帕泰-檸檬角,,,0,0,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),20,600,0.108,牛肉帕泰 (https://www.notion.so/237fd5adc30b80b18fb0d0f87a29fd5e?pvs=21),2.16,30
焦香帕泰-料,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),354,4862,0.074179144385,,,0,0,焦香帕泰 (https://www.notion.so/237fd5adc30b80888f93e396e7d67315?pvs=21),26.25941711229,13
焦香帕泰-醬,帕泰醬 (https://www.notion.so/237fd5adc30b8031bd9deeeb23a48783?pvs=21),45,7080,0.082574074074,,,0,0,焦香帕泰 (https://www.notion.so/237fd5adc30b80888f93e396e7d67315?pvs=21),3.71583333333,157
焦香帕泰-配菜,配菜組(主) (https://www.notion.so/238fd5adc30b80d2a476fa5e439f47b3?pvs=21),105,2100,0.113619047619,,,0,0,焦香帕泰 (https://www.notion.so/237fd5adc30b80888f93e396e7d67315?pvs=21),11.929999999995,20
焦香帕泰-粉,花生粉 (https://www.notion.so/238fd5adc30b8034b88bfe8747b8ff7f?pvs=21),30,1000,0.172,,,0,0,焦香帕泰 (https://www.notion.so/237fd5adc30b80888f93e396e7d67315?pvs=21),5.16,33
焦香帕泰-檸檬角,,,0,0,無子檸檬 (https://www.notion.so/237fd5adc30b80c4a596f4e778a5e1ce?pvs=21),20,600,0.108,焦香帕泰 (https://www.notion.so/237fd5adc30b80888f93e396e7d67315?pvs=21),2.16,30
打拋雞飯-醬,經典打拋醬-豬 (https://www.notion.so/237fd5adc30b80039acde56f67a87c2d?pvs=21),20,5025,0.178025830258,,,0,0,打拋雞飯 (https://www.notion.so/237fd5adc30b80a99cade2247d4e6467?pvs=21),3.56051660516,251
打拋雞飯-肉,切片雞胸肉 (https://www.notion.so/238fd5adc30b80ec9e03f6df575e0f08?pvs=21),100,6500,0.142,,,0,0,,14.2,65
