無法供應,餐點名稱,成本,價格,庫存量,安全庫存量,可供應庫存量,餐點類型,過敏原,推薦,餐點介紹,辣度,辣度選項,冰量選項,甜度選項,製作方式,製作地點,菜單組成項目
No,泰式炸蛋,4.68,30,,,76,加點,,No,酥脆炸蛋，為泰式經典配料之一。,不辣,,,,炒,廚房,泰式炸蛋 (https://www.notion.so/238fd5adc30b80afb583d4defb954cbe?pvs=21)
No,馬努拉蝦片,13.75,60,,,32,前菜,,No,酥脆香鹹的炸蝦片餅乾，開胃首選。,不辣,,,,炸,廚房,馬努拉蝦片 (https://www.notion.so/238fd5adc30b80a0b0e6d02b24386fc0?pvs=21)
No,酥炸豆腐沙拉,15.90105263158,120,,,15,前菜,,No,外酥內嫩的豆腐佐自製沙拉醬。,不辣,,,,冷盤,廚房,"酥炸豆腐沙拉-醬 (https://www.notion.so/238fd5adc30b8094804fcecc6b413f6c?pvs=21), 酥炸豆腐沙拉-料 (https://www.notion.so/238fd5adc30b800fab82e835812685b3?pvs=21), 酥炸豆腐沙拉-豆腐 (https://www.notion.so/238fd5adc30b8052841de657cfb046d9?pvs=21), 酥炸豆腐沙拉-生菜 (https://www.notion.so/238fd5adc30b801caeb0f84ffce84571?pvs=21), 酥炸豆腐沙拉-小番茄 (https://www.notion.so/238fd5adc30b805f9d19fb8ab3919052?pvs=21)"
No,涼拌青木瓜,13.43,120,,,20,前菜,,No,清爽微辣的木瓜絲沙拉，佐以花生與檸檬。,小辣,"中辣, 大辣, 小辣",,,冷盤,廚房,"涼拌青木瓜-醬 (https://www.notion.so/238fd5adc30b8052aeafd00cf8a3b1e2?pvs=21), 涼拌青木瓜-木瓜 (https://www.notion.so/238fd5adc30b8060882ec9b305fa4dd3?pvs=21), 涼拌青木瓜-小番茄 (https://www.notion.so/238fd5adc30b802a81abc622aa35c7d6?pvs=21), 涼拌青木瓜-粉 (https://www.notion.so/238fd5adc30b80a7a437f383b0aed8a2?pvs=21)"
Yes,椰香玉米沙拉,0,120,,,,前菜,,No,以椰奶與香料拌合玉米粒，清爽香甜。,不辣,,,,冷盤,廚房,
No,Laab 肉末萵苣包,14.013478260880001,120,,,6,前菜,,No,以香料煮製的羊肉末，搭配生菜包裹食用。,微辣,"中辣, 小辣",,,冷盤,廚房,"Laab羊-生菜 (https://www.notion.so/Laab-238fd5adc30b80e6b298e66769f063a7?pvs=21), Laab羊-小番茄 (https://www.notion.so/Laab-238fd5adc30b801e83ccdb7411941822?pvs=21), Laab羊-料 (https://www.notion.so/Laab-238fd5adc30b8066bd5ccc242a23cb67?pvs=21), Laab羊-粉 (https://www.notion.so/Laab-238fd5adc30b80f3a581fd5e3bdd148c?pvs=21)"
No,香茅翅小腿,12.69700693912,100,,,40,小點,,No,魚露醃製雞腿小翅，風味濃郁。,不辣,"不辣, 小辣",,,炸,廚房,"香茅翅小腿-翅小腿 (https://www.notion.so/238fd5adc30b80cd9e69c1583bb3d706?pvs=21), 香茅翅小腿-炸粉 (https://www.notion.so/238fd5adc30b808e8a2dfd4835f1a272?pvs=21)"
No,酸辣炸魚片,65.6897142857,120,,,8,小點,,No,炸白身魚搭配酸辣醬汁，外酥內嫩。,微辣,"中辣, 小辣",,,炸,廚房,"酸辣炸魚片-炸粉 (https://www.notion.so/238fd5adc30b802da100e6a6661653e7?pvs=21), 酸辣炸魚片-魚片 (https://www.notion.so/238fd5adc30b80dc8c02cb2003f95905?pvs=21), 酸辣炸魚片-生菜 (https://www.notion.so/238fd5adc30b80119474cb5e4e94a2c7?pvs=21), 酸辣炸魚片-醬 (https://www.notion.so/238fd5adc30b806da20cc4116902da54?pvs=21), 酸辣炸魚片-粉 (https://www.notion.so/238fd5adc30b80cb9a8ef2de4dfbba63?pvs=21)"
No,打拋風味脆薯,28.729999999999997,100,,,11,小點,,No,厚切薯條拌打拋香料與辣粉，鹹香涮嘴。,不辣,"不辣, 小辣",,,炸,廚房,"打拋風味脆薯-薯條 (https://www.notion.so/238fd5adc30b807b82d5db5f44e621ac?pvs=21), 打拋風味脆薯-九層塔 (https://www.notion.so/238fd5adc30b80ed9e5dfb43580133ed?pvs=21), 打拋風味脆薯-粉 (https://www.notion.so/238fd5adc30b80989818c6922c9a4aa6?pvs=21)"
No,蝦醬高麗菜,23.69827586205,120,,,3,小點,,No,蝦醬與時蔬大火快炒，鹹香下飯。今日提供：高麗菜、空心菜,小辣,"不辣, 中辣, 大辣, 小辣",,,炒,廚房,"蝦醬高麗菜-醬 (https://www.notion.so/238fd5adc30b80d1960ac29373e895c4?pvs=21), 蝦醬高麗菜-菜 (https://www.notion.so/238fd5adc30b803b90dac734cc9e3cfc?pvs=21)"
No,蝦醬空心菜,27.94827586205,120,,,4,小點,,No,蝦醬與時蔬大火快炒，鹹香下飯。今日提供：高麗菜、空心菜,小辣,"不辣, 中辣, 大辣, 小辣",,,炒,廚房,"蝦醬空心菜-醬 (https://www.notion.so/238fd5adc30b80adb475d06724e73cb9?pvs=21), 蝦醬空心菜-菜 (https://www.notion.so/238fd5adc30b806382f1e5859b41e52a?pvs=21)"
